frame,image_path,steer,throttle,brake,speed,heading,vehicle_id,vehicle_type
1,images_sept/000001.png,0.0,0.4510132670402527,0.0,5.62,-0.03,131,vehicle.mercedes.coupe_2020
2,images_sept/000002.png,0.0,0.4319848418235779,0.0,5.62,-0.03,131,vehicle.mercedes.coupe_2020
3,images_sept/000003.png,0.0,0.43298935890197754,0.0,5.62,-0.03,131,vehicle.mercedes.coupe_2020
4,images_sept/000004.png,0.0,0.44420936703681946,0.0,5.62,-0.02,131,vehicle.mercedes.coupe_2020
5,images_sept/000005.png,0.0,0.4431936740875244,0.0,5.62,-0.03,131,vehicle.mercedes.coupe_2020
6,images_sept/000006.png,0.0,0.43446481227874756,0.0,5.62,-0.02,131,vehicle.mercedes.coupe_2020
7,images_sept/000007.png,0.0,0.4325892925262451,0.0,5.62,-0.02,131,vehicle.mercedes.coupe_2020
8,images_sept/000008.png,0.0,0.4378340542316437,0.0,5.62,-0.03,131,vehicle.mercedes.coupe_2020
9,images_sept/000009.png,0.0,0.4420302212238312,0.0,5.62,-0.03,131,vehicle.mercedes.coupe_2020
10,images_sept/000010.png,0.0,0.43738052248954773,0.0,5.62,-0.02,131,vehicle.mercedes.coupe_2020
11,images_sept/000011.png,0.0,0.43500033020973206,0.0,5.62,-0.03,131,vehicle.mercedes.coupe_2020
12,images_sept/000012.png,0.0,0.438017874956131,0.0,5.62,-0.02,131,vehicle.mercedes.coupe_2020
13,images_sept/000013.png,0.0,0.43969300389289856,0.0,5.62,-0.03,131,vehicle.mercedes.coupe_2020
14,images_sept/000014.png,-0.0036446312442421913,0.44069698452949524,0.0,5.62,0.22,131,vehicle.mercedes.coupe_2020
15,images_sept/000015.png,0.003796182107180357,0.43643468618392944,0.0,5.62,0.29,131,vehicle.mercedes.coupe_2020
16,images_sept/000016.png,0.0015400549164041877,0.4358408749103546,0.0,5.62,0.33,131,vehicle.mercedes.coupe_2020
17,images_sept/000017.png,0.0014465791173279285,0.43894264101982117,0.0,5.62,0.38,131,vehicle.mercedes.coupe_2020
18,images_sept/000018.png,0.00026541203260421753,0.4401009678840637,0.0,5.62,0.40,131,vehicle.mercedes.coupe_2020
19,images_sept/000019.png,0.15134656429290771,0.43711861968040466,0.0,5.61,0.58,131,vehicle.mercedes.coupe_2020
20,images_sept/000020.png,0.04544782638549805,0.45095741748809814,0.0,5.62,1.73,131,vehicle.mercedes.coupe_2020
21,images_sept/000021.png,0.034699104726314545,0.4267881214618683,0.0,5.63,2.52,131,vehicle.mercedes.coupe_2020
22,images_sept/000022.png,0.024212297052145004,0.4932980537414551,0.0,5.63,3.15,131,vehicle.mercedes.coupe_2020
