frame,image_path,steer,throttle,brake,speed,heading,vehicle_id,vehicle_type
1,images_sept/000001.png,0.0,0.4510132670402527,0.0,5.62,-0.03,131,vehicle.mercedes.coupe_2020
2,images_sept/000002.png,0.0,0.4319848418235779,0.0,5.62,-0.03,131,vehicle.mercedes.coupe_2020
3,images_sept/000003.png,0.0,0.4329893589019775,0.0,5.62,-0.03,131,vehicle.mercedes.coupe_2020
4,images_sept/000004.png,0.0,0.4442093670368194,0.0,5.62,-0.02,131,vehicle.mercedes.coupe_2020
5,images_sept/000005.png,0.0,0.4431936740875244,0.0,5.62,-0.03,131,vehicle.mercedes.coupe_2020
6,images_sept/000006.png,0.0,0.4344648122787475,0.0,5.62,-0.02,131,vehicle.mercedes.coupe_2020
7,images_sept/000007.png,0.0,0.4325892925262451,0.0,5.62,-0.02,131,vehicle.mercedes.coupe_2020
8,images_sept/000008.png,0.0,0.4378340542316437,0.0,5.62,-0.03,131,vehicle.mercedes.coupe_2020
9,images_sept/000009.png,0.0,0.4420302212238312,0.0,5.62,-0.03,131,vehicle.mercedes.coupe_2020
10,images_sept/000010.png,0.0,0.4373805224895477,0.0,5.62,-0.02,131,vehicle.mercedes.coupe_2020
11,images_sept/000011.png,0.0,0.435000330209732,0.0,5.62,-0.03,131,vehicle.mercedes.coupe_2020
12,images_sept/000012.png,0.0,0.438017874956131,0.0,5.62,-0.02,131,vehicle.mercedes.coupe_2020
13,images_sept/000013.png,0.0,0.4396930038928985,0.0,5.62,-0.03,131,vehicle.mercedes.coupe_2020
14,images_sept/000014.png,-0.0036446312442421,0.4406969845294952,0.0,5.62,0.22,131,vehicle.mercedes.coupe_2020
15,images_sept/000015.png,0.0037961821071803,0.4364346861839294,0.0,5.62,0.29,131,vehicle.mercedes.coupe_2020
16,images_sept/000016.png,0.0015400549164041,0.4358408749103546,0.0,5.62,0.33,131,vehicle.mercedes.coupe_2020
17,images_sept/000017.png,0.0014465791173279,0.4389426410198211,0.0,5.62,0.38,131,vehicle.mercedes.coupe_2020
18,images_sept/000018.png,0.0002654120326042,0.4401009678840637,0.0,5.62,0.4,131,vehicle.mercedes.coupe_2020
19,images_sept/000019.png,0.1513465642929077,0.4371186196804046,0.0,5.61,0.58,131,vehicle.mercedes.coupe_2020
20,images_sept/000020.png,0.045447826385498,0.4509574174880981,0.0,5.62,1.73,131,vehicle.mercedes.coupe_2020
21,images_sept/000021.png,0.0346991047263145,0.4267881214618683,0.0,5.63,2.52,131,vehicle.mercedes.coupe_2020
22,images_sept/000022.png,0.024212297052145,0.4932980537414551,0.0,5.63,3.15,131,vehicle.mercedes.coupe_2020
